(-0.0718556,-0.641221,-0.0852031,1.81765,-0.0230849,0.432364,-8.46855e-05)
(-0.0718605,-0.64122,-0.085209,1.81765,-0.0230863,0.432366,-8.44598e-05)
(-0.0718624,-0.64122,-0.0852113,1.81765,-0.0230868,0.432366,-8.4379e-05)
(-0.0718631,-0.64122,-0.0852121,1.81765,-0.0230871,0.432366,-8.43502e-05)
(-0.0718634,-0.641219,-0.0852125,1.81765,-0.0230871,0.432366,-8.434e-05)
(-0.0718635,-0.641219,-0.0852126,1.81765,-0.0230872,0.432366,-8.43363e-05)
(-0.0718635,-0.641219,-0.0852126,1.81765,-0.0230872,0.432366,-8.43351e-05)
(-0.0718635,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43346e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43345e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
(-0.0718636,-0.641219,-0.0852127,1.81765,-0.0230872,0.432366,-8.43344e-05)
